portuguese,english
muito bom,very good
bom,good
otimo,great
excelente,excellent
boa,good
otima,great
muito boa,very good
perfeito,perfect
adorei,loved it
amei,loved it
gostei,liked it
top,top
parabens,congratulations
recomendo,i recommend
obrigado,thank you
obrigada,thank you
tudo ok,all good
boa loja,good store
lindo,beautiful
linda,beautiful
legal,nice
show,great
mto bom,very good
mt bom,very good
exelente,excellent
rapido,fast
regular,average
normal,normal
confiavel,reliable
sim,yes
ruim,bad
pessimo,terrible
nota 10,grade 10
nota 1000,grade 1000
ok,ok
aprovado,approved
td ok,all good
td certo,all good
razoavel,reasonable
valeu,thanks
maravilha,wonderful
tudo bem,all good
tudo bom,all good
nao,no
recebido,received
foi otimo,it was great
joia,great
blz,all good
rapidez,fast delivery
pontual,on time
indico,i recommend
pessima,terrible
bonito,nice
nota dez,grade ten
ameiii,loved it
sem mais,nothing more
td otimo,all great
nao tem,nothing to say
tudo joia,all great
recebi,received
lindooo,beautiful
top top,excellent
bom preco,good price
adoreiii,loved it
certinho,just right
execente,excellent
perfeita,perfect
